subjectID,assigned_condition,block_nr,trial_nr,grid,selected_choice,reward
VXnyDUcS,0,0,0,16,149,54
VXnyDUcS,0,1,0,15,224,23
VXnyDUcS,0,2,0,17,179,44
VXnyDUcS,0,3,0,0,149,70
VXnyDUcS,0,4,0,1,89,15
VXnyDUcS,0,5,0,9,224,68
VXnyDUcS,0,6,0,8,177,6
VXnyDUcS,0,7,0,7,224,30
VXnyDUcS,0,8,0,14,89,61
VXnyDUcS,0,9,0,13,221,16
VXnyDUcS,0,10,0,11,149,50
VXnyDUcS,0,11,0,6,179,20
VXnyDUcS,0,12,0,5,218,50
VXnyDUcS,0,13,0,12,179,20
VXnyDUcS,0,14,0,10,224,25
VXnyDUcS,0,15,0,18,221,10
VXnyDUcS,0,16,0,2,219,76
VXnyDUcS,0,17,0,4,120,64
VXnyDUcS,0,18,0,19,89,70
VXnyDUcS,0,19,0,3,73,5
DOaZBNMm,3,0,0,4,120,38
DOaZBNMm,3,1,0,2,219,68
DOaZBNMm,3,2,0,19,89,50
DOaZBNMm,3,3,0,18,221,65
DOaZBNMm,3,4,0,3,73,20
DOaZBNMm,3,5,0,11,149,70
DOaZBNMm,3,6,0,5,218,55
DOaZBNMm,3,7,0,10,224,70
DOaZBNMm,3,8,0,6,179,40
DOaZBNMm,3,9,0,12,179,60
DOaZBNMm,3,10,0,7,224,30
DOaZBNMm,3,11,0,8,177,15
DOaZBNMm,3,12,0,13,221,69
DOaZBNMm,3,13,0,14,89,50
DOaZBNMm,3,14,0,9,224,70
DOaZBNMm,3,15,0,15,224,65
DOaZBNMm,3,16,0,16,149,60
DOaZBNMm,3,17,0,17,179,33
DOaZBNMm,3,18,0,1,89,50
DOaZBNMm,3,19,0,0,149,70
TDZurfdC,0,0,0,13,221,50
TDZurfdC,0,1,0,9,224,70
TDZurfdC,0,2,0,7,224,20
TDZurfdC,0,3,0,8,177,15
TDZurfdC,0,4,0,14,89,40
TDZurfdC,0,5,0,6,179,30
TDZurfdC,0,6,0,11,149,30
TDZurfdC,0,7,0,10,224,25
TDZurfdC,0,8,0,12,179,15
TDZurfdC,0,9,0,5,218,30
TDZurfdC,0,10,0,4,120,30
TDZurfdC,0,11,0,18,221,25
TDZurfdC,0,12,0,19,89,25
TDZurfdC,0,13,0,3,73,5
TDZurfdC,0,14,0,2,219,65
TDZurfdC,0,15,0,17,179,30
TDZurfdC,0,16,0,16,149,30
TDZurfdC,0,17,0,1,89,40
TDZurfdC,0,18,0,15,224,40
TDZurfdC,0,19,0,0,149,35
kFvGqsFv,1,0,0,12,179,9
kFvGqsFv,1,1,0,5,218,81
kFvGqsFv,1,2,0,11,149,48
kFvGqsFv,1,3,0,10,224,78
kFvGqsFv,1,4,0,6,179,24
kFvGqsFv,1,5,0,4,120,71
kFvGqsFv,1,6,0,18,221,9
kFvGqsFv,1,7,0,3,73,2
kFvGqsFv,1,8,0,19,89,54
kFvGqsFv,1,9,0,2,219,81
kFvGqsFv,1,10,0,17,179,9
kFvGqsFv,1,11,0,16,149,42
kFvGqsFv,1,12,0,1,89,9
kFvGqsFv,1,13,0,15,224,70
kFvGqsFv,1,14,0,0,149,50
kFvGqsFv,1,15,0,8,177,9
kFvGqsFv,1,16,0,14,89,40
kFvGqsFv,1,17,0,7,224,9
kFvGqsFv,1,18,0,13,221,9
kFvGqsFv,1,19,0,9,224,71
6jc7uk3v,0,0,0,2,219,65
6jc7uk3v,0,1,0,3,73,20
6jc7uk3v,0,2,0,18,221,50
6jc7uk3v,0,3,0,19,89,40
6jc7uk3v,0,4,0,4,120,55
6jc7uk3v,0,5,0,12,179,60
6jc7uk3v,0,6,0,5,218,30
6jc7uk3v,0,7,0,11,149,25
6jc7uk3v,0,8,0,6,179,20
6jc7uk3v,0,9,0,10,224,15
6jc7uk3v,0,10,0,8,177,15
6jc7uk3v,0,11,0,13,221,15
6jc7uk3v,0,12,0,14,89,40
6jc7uk3v,0,13,0,7,224,50
6jc7uk3v,0,14,0,9,224,65
6jc7uk3v,0,15,0,1,89,20
6jc7uk3v,0,16,0,16,149,42
6jc7uk3v,0,17,0,15,224,15
6jc7uk3v,0,18,0,17,179,30
6jc7uk3v,0,19,0,0,149,55
3QUfzrj9,3,0,0,16,149,40
3QUfzrj9,3,1,0,17,179,50
3QUfzrj9,3,2,0,0,149,55
3QUfzrj9,3,3,0,15,224,42
3QUfzrj9,3,4,0,1,89,54
3QUfzrj9,3,5,0,3,73,12
3QUfzrj9,3,6,0,4,120,71
3QUfzrj9,3,7,0,18,221,35
3QUfzrj9,3,8,0,19,89,47
3QUfzrj9,3,9,0,2,219,80
3QUfzrj9,3,10,0,6,179,29
3QUfzrj9,3,11,0,5,218,34
3QUfzrj9,3,12,0,10,224,52
3QUfzrj9,3,13,0,12,179,14
3QUfzrj9,3,14,0,11,149,61
3QUfzrj9,3,15,0,14,89,38
3QUfzrj9,3,16,0,7,224,55
3QUfzrj9,3,17,0,9,224,76
3QUfzrj9,3,18,0,13,221,21
3QUfzrj9,3,19,0,8,177,9
FTwnzJSm,3,0,0,10,224,40
FTwnzJSm,3,1,0,6,179,42
FTwnzJSm,3,2,0,11,149,54
FTwnzJSm,3,3,0,12,179,61
FTwnzJSm,3,4,0,5,218,64
FTwnzJSm,3,5,0,8,177,12
FTwnzJSm,3,6,0,14,89,42
FTwnzJSm,3,7,0,13,221,55
FTwnzJSm,3,8,0,7,224,35
FTwnzJSm,3,9,0,9,224,65
FTwnzJSm,3,10,0,1,89,64
FTwnzJSm,3,11,0,15,224,55
FTwnzJSm,3,12,0,16,149,72
FTwnzJSm,3,13,0,0,149,72
FTwnzJSm,3,14,0,17,179,44
FTwnzJSm,3,15,0,3,73,15
FTwnzJSm,3,16,0,19,89,40
FTwnzJSm,3,17,0,18,221,60
FTwnzJSm,3,18,0,2,219,72
FTwnzJSm,3,19,0,4,120,52
mbhPWWqA,3,0,0,13,221,9
mbhPWWqA,3,1,0,14,89,10
mbhPWWqA,3,2,0,9,224,4
mbhPWWqA,3,3,0,8,177,3
mbhPWWqA,3,4,0,7,224,15
mbhPWWqA,3,5,0,17,179,17
mbhPWWqA,3,6,0,16,149,5
mbhPWWqA,3,7,0,1,89,11
mbhPWWqA,3,8,0,15,224,24
mbhPWWqA,3,9,0,0,149,6
mbhPWWqA,3,10,0,18,221,13
mbhPWWqA,3,11,0,3,73,6
mbhPWWqA,3,12,0,4,120,10
mbhPWWqA,3,13,0,19,89,9
mbhPWWqA,3,14,0,2,219,4
mbhPWWqA,3,15,0,12,179,11
mbhPWWqA,3,16,0,6,179,15
mbhPWWqA,3,17,0,11,149,8
mbhPWWqA,3,18,0,5,218,17
mbhPWWqA,3,19,0,10,224,20
mTOAGxN5,0,0,0,8,177,30
mTOAGxN5,0,1,0,7,224,10
mTOAGxN5,0,2,0,9,224,50
mTOAGxN5,0,3,0,13,221,20
mTOAGxN5,0,4,0,14,89,50
mTOAGxN5,0,5,0,17,179,17
mTOAGxN5,0,6,0,16,149,77
mTOAGxN5,0,7,0,15,224,10
mTOAGxN5,0,8,0,0,149,54
mTOAGxN5,0,9,0,1,89,10
mTOAGxN5,0,10,0,3,73,10
mTOAGxN5,0,11,0,4,120,50
mTOAGxN5,0,12,0,2,219,60
mTOAGxN5,0,13,0,18,221,70
mTOAGxN5,0,14,0,19,89,50
mTOAGxN5,0,15,0,12,179,10
mTOAGxN5,0,16,0,5,218,10
mTOAGxN5,0,17,0,10,224,60
mTOAGxN5,0,18,0,11,149,70
mTOAGxN5,0,19,0,6,179,10
DEv1aHNJ,2,0,0,7,224,45
DEv1aHNJ,2,1,0,9,224,60
DEv1aHNJ,2,2,0,8,177,22
DEv1aHNJ,2,3,0,14,89,58
DEv1aHNJ,2,4,0,13,221,75
DEv1aHNJ,2,5,0,1,89,60
DEv1aHNJ,2,6,0,0,149,60
DEv1aHNJ,2,7,0,15,224,60
DEv1aHNJ,2,8,0,17,179,60
DEv1aHNJ,2,9,0,16,149,45
DEv1aHNJ,2,10,0,4,120,45
DEv1aHNJ,2,11,0,2,219,75
DEv1aHNJ,2,12,0,3,73,10
DEv1aHNJ,2,13,0,19,89,60
DEv1aHNJ,2,14,0,18,221,45
DEv1aHNJ,2,15,0,11,149,54
DEv1aHNJ,2,16,0,12,179,75
DEv1aHNJ,2,17,0,10,224,65
DEv1aHNJ,2,18,0,5,218,60
DEv1aHNJ,2,19,0,6,179,43
AcfXidbB,3,0,0,19,89,56
AcfXidbB,3,1,0,2,219,70
AcfXidbB,3,2,0,18,221,20
AcfXidbB,3,3,0,3,73,6
AcfXidbB,3,4,0,4,120,40
AcfXidbB,3,5,0,6,179,10
AcfXidbB,3,6,0,11,149,64
AcfXidbB,3,7,0,10,224,10
AcfXidbB,3,8,0,12,179,10
AcfXidbB,3,9,0,5,218,77
AcfXidbB,3,10,0,14,89,60
AcfXidbB,3,11,0,8,177,23
AcfXidbB,3,12,0,9,224,70
AcfXidbB,3,13,0,7,224,20
AcfXidbB,3,14,0,13,221,10
AcfXidbB,3,15,0,16,149,60
AcfXidbB,3,16,0,17,179,21
AcfXidbB,3,17,0,15,224,77
AcfXidbB,3,18,0,1,89,25
AcfXidbB,3,19,0,0,149,70
MGwuFluO,1,0,0,8,177,25
MGwuFluO,1,1,0,7,224,25
MGwuFluO,1,2,0,14,89,35
MGwuFluO,1,3,0,9,224,50
MGwuFluO,1,4,0,13,221,25
MGwuFluO,1,5,0,17,179,19
MGwuFluO,1,6,0,15,224,20
MGwuFluO,1,7,0,0,149,47
MGwuFluO,1,8,0,1,89,25
MGwuFluO,1,9,0,16,149,20
MGwuFluO,1,10,0,19,89,46
MGwuFluO,1,11,0,2,219,52
MGwuFluO,1,12,0,3,73,20
MGwuFluO,1,13,0,4,120,47
MGwuFluO,1,14,0,18,221,20
MGwuFluO,1,15,0,11,149,32
MGwuFluO,1,16,0,6,179,18
MGwuFluO,1,17,0,10,224,25
MGwuFluO,1,18,0,5,218,20
MGwuFluO,1,19,0,12,179,18
oy3GJkkz,1,0,0,0,149,45
oy3GJkkz,1,1,0,15,224,51
oy3GJkkz,1,2,0,17,179,9
oy3GJkkz,1,3,0,16,149,40
oy3GJkkz,1,4,0,1,89,30
oy3GJkkz,1,5,0,8,177,10
oy3GJkkz,1,6,0,14,89,35
oy3GJkkz,1,7,0,9,224,80
oy3GJkkz,1,8,0,7,224,5
oy3GJkkz,1,9,0,13,221,50
oy3GJkkz,1,10,0,5,218,55
oy3GJkkz,1,11,0,12,179,37
oy3GJkkz,1,12,0,11,149,70
oy3GJkkz,1,13,0,6,179,50
oy3GJkkz,1,14,0,10,224,60
oy3GJkkz,1,15,0,3,73,13
oy3GJkkz,1,16,0,19,89,49
oy3GJkkz,1,17,0,4,120,87
oy3GJkkz,1,18,0,2,219,90
oy3GJkkz,1,19,0,18,221,30
pQ7iKpf5,2,0,0,14,89,23
pQ7iKpf5,2,1,0,8,177,12
pQ7iKpf5,2,2,0,7,224,77
pQ7iKpf5,2,3,0,13,221,54
pQ7iKpf5,2,4,0,9,224,77
pQ7iKpf5,2,5,0,1,89,66
pQ7iKpf5,2,6,0,16,149,54
pQ7iKpf5,2,7,0,15,224,35
pQ7iKpf5,2,8,0,17,179,64
pQ7iKpf5,2,9,0,0,149,54
pQ7iKpf5,2,10,0,19,89,68
pQ7iKpf5,2,11,0,3,73,11
pQ7iKpf5,2,12,0,2,219,76
pQ7iKpf5,2,13,0,4,120,54
pQ7iKpf5,2,14,0,18,221,11
pQ7iKpf5,2,15,0,12,179,54
pQ7iKpf5,2,16,0,11,149,66
pQ7iKpf5,2,17,0,5,218,44
pQ7iKpf5,2,18,0,10,224,20
pQ7iKpf5,2,19,0,6,179,38
AgVrL919,3,0,0,4,120,48
AgVrL919,3,1,0,18,221,35
AgVrL919,3,2,0,19,89,50
AgVrL919,3,3,0,2,219,70
AgVrL919,3,4,0,3,73,10
AgVrL919,3,5,0,17,179,60
AgVrL919,3,6,0,15,224,15
AgVrL919,3,7,0,0,149,62
AgVrL919,3,8,0,1,89,25
AgVrL919,3,9,0,16,149,30
AgVrL919,3,10,0,9,224,55
AgVrL919,3,11,0,7,224,35
AgVrL919,3,12,0,8,177,6
AgVrL919,3,13,0,14,89,55
AgVrL919,3,14,0,13,221,15
AgVrL919,3,15,0,12,179,25
AgVrL919,3,16,0,10,224,14
AgVrL919,3,17,0,5,218,4
AgVrL919,3,18,0,6,179,45
AgVrL919,3,19,0,11,149,25
hsAvlSjb,1,0,0,11,149,47
hsAvlSjb,1,1,0,5,218,15
hsAvlSjb,1,2,0,10,224,70
hsAvlSjb,1,3,0,6,179,10
hsAvlSjb,1,4,0,12,179,15
hsAvlSjb,1,5,0,9,224,70
hsAvlSjb,1,6,0,14,89,29
hsAvlSjb,1,7,0,7,224,40
hsAvlSjb,1,8,0,13,221,71
hsAvlSjb,1,9,0,8,177,39
hsAvlSjb,1,10,0,16,149,67
hsAvlSjb,1,11,0,17,179,19
hsAvlSjb,1,12,0,0,149,72
hsAvlSjb,1,13,0,15,224,81
hsAvlSjb,1,14,0,1,89,70
hsAvlSjb,1,15,0,18,221,56
hsAvlSjb,1,16,0,2,219,80
hsAvlSjb,1,17,0,4,120,71
hsAvlSjb,1,18,0,3,73,29
hsAvlSjb,1,19,0,19,89,30
AaIfX4PC,1,0,0,15,224,45
AaIfX4PC,1,1,0,17,179,50
AaIfX4PC,1,2,0,0,149,82
AaIfX4PC,1,3,0,1,89,36
AaIfX4PC,1,4,0,16,149,65
AaIfX4PC,1,5,0,13,221,35
AaIfX4PC,1,6,0,14,89,48
AaIfX4PC,1,7,0,8,177,16
AaIfX4PC,1,8,0,7,224,32
AaIfX4PC,1,9,0,9,224,70
AaIfX4PC,1,10,0,12,179,32
AaIfX4PC,1,11,0,6,179,16
AaIfX4PC,1,12,0,11,149,70
AaIfX4PC,1,13,0,10,224,65
AaIfX4PC,1,14,0,5,218,80
AaIfX4PC,1,15,0,4,120,50
AaIfX4PC,1,16,0,18,221,26
AaIfX4PC,1,17,0,3,73,10
AaIfX4PC,1,18,0,19,89,65
AaIfX4PC,1,19,0,2,219,75
BofXoNFk,1,0,0,9,224,43
BofXoNFk,1,1,0,7,224,10
BofXoNFk,1,2,0,8,177,37
BofXoNFk,1,3,0,14,89,56
BofXoNFk,1,4,0,13,221,30
BofXoNFk,1,5,0,10,224,60
BofXoNFk,1,6,0,11,149,50
BofXoNFk,1,7,0,12,179,70
BofXoNFk,1,8,0,6,179,60
BofXoNFk,1,9,0,5,218,20
BofXoNFk,1,10,0,18,221,34
BofXoNFk,1,11,0,2,219,72
BofXoNFk,1,12,0,4,120,62
BofXoNFk,1,13,0,19,89,43
BofXoNFk,1,14,0,3,73,24
BofXoNFk,1,15,0,15,224,33
BofXoNFk,1,16,0,0,149,58
BofXoNFk,1,17,0,1,89,60
BofXoNFk,1,18,0,17,179,54
BofXoNFk,1,19,0,16,149,54
2MepxQlz,0,0,0,10,224,56
2MepxQlz,0,1,0,5,218,34
2MepxQlz,0,2,0,6,179,48
2MepxQlz,0,3,0,12,179,68
2MepxQlz,0,4,0,11,149,65
2MepxQlz,0,5,0,19,89,48
2MepxQlz,0,6,0,3,73,23
2MepxQlz,0,7,0,4,120,59
2MepxQlz,0,8,0,2,219,69
2MepxQlz,0,9,0,18,221,44
2MepxQlz,0,10,0,16,149,22
2MepxQlz,0,11,0,17,179,56
2MepxQlz,0,12,0,0,149,65
2MepxQlz,0,13,0,1,89,56
2MepxQlz,0,14,0,15,224,52
2MepxQlz,0,15,0,8,177,46
2MepxQlz,0,16,0,7,224,33
2MepxQlz,0,17,0,14,89,47
2MepxQlz,0,18,0,13,221,65
2MepxQlz,0,19,0,9,224,23
H7wpJP3z,0,0,0,14,89,48
H7wpJP3z,0,1,0,7,224,24
H7wpJP3z,0,2,0,8,177,14
H7wpJP3z,0,3,0,9,224,68
H7wpJP3z,0,4,0,13,221,46
H7wpJP3z,0,5,0,10,224,52
H7wpJP3z,0,6,0,11,149,68
H7wpJP3z,0,7,0,6,179,36
H7wpJP3z,0,8,0,5,218,60
H7wpJP3z,0,9,0,12,179,64
H7wpJP3z,0,10,0,4,120,63
H7wpJP3z,0,11,0,18,221,49
H7wpJP3z,0,12,0,3,73,55
H7wpJP3z,0,13,0,19,89,60
H7wpJP3z,0,14,0,2,219,72
H7wpJP3z,0,15,0,1,89,68
H7wpJP3z,0,16,0,17,179,59
H7wpJP3z,0,17,0,15,224,70
H7wpJP3z,0,18,0,0,149,53
H7wpJP3z,0,19,0,16,149,47
6lXxUPU2,0,0,0,1,89,55
6lXxUPU2,0,1,0,15,224,70
6lXxUPU2,0,2,0,17,179,35
6lXxUPU2,0,3,0,0,149,30
6lXxUPU2,0,4,0,16,149,45
6lXxUPU2,0,5,0,18,221,70
6lXxUPU2,0,6,0,3,73,20
6lXxUPU2,0,7,0,4,120,55
6lXxUPU2,0,8,0,19,89,50
6lXxUPU2,0,9,0,2,219,80
6lXxUPU2,0,10,0,12,179,55
6lXxUPU2,0,11,0,10,224,72
6lXxUPU2,0,12,0,6,179,50
6lXxUPU2,0,13,0,11,149,40
6lXxUPU2,0,14,0,5,218,74
6lXxUPU2,0,15,0,13,221,55
6lXxUPU2,0,16,0,7,224,30
6lXxUPU2,0,17,0,14,89,50
6lXxUPU2,0,18,0,8,177,40
6lXxUPU2,0,19,0,9,224,35
hW3fM6Cq,2,0,0,6,179,3
hW3fM6Cq,2,1,0,5,218,25
hW3fM6Cq,2,2,0,10,224,23
hW3fM6Cq,2,3,0,11,149,12
hW3fM6Cq,2,4,0,12,179,10
hW3fM6Cq,2,5,0,7,224,35
hW3fM6Cq,2,6,0,9,224,24
hW3fM6Cq,2,7,0,14,89,23
hW3fM6Cq,2,8,0,8,177,34
hW3fM6Cq,2,9,0,13,221,12
hW3fM6Cq,2,10,0,16,149,21
hW3fM6Cq,2,11,0,0,149,23
hW3fM6Cq,2,12,0,17,179,26
hW3fM6Cq,2,13,0,15,224,13
hW3fM6Cq,2,14,0,1,89,28
hW3fM6Cq,2,15,0,4,120,9
hW3fM6Cq,2,16,0,2,219,22
hW3fM6Cq,2,17,0,19,89,21
hW3fM6Cq,2,18,0,3,73,34
hW3fM6Cq,2,19,0,18,221,23
rZJBFV36,0,0,0,6,179,30
rZJBFV36,0,1,0,10,224,45
rZJBFV36,0,2,0,11,149,30
rZJBFV36,0,3,0,5,218,45
rZJBFV36,0,4,0,12,179,40
rZJBFV36,0,5,0,18,221,45
rZJBFV36,0,6,0,2,219,50
rZJBFV36,0,7,0,4,120,40
rZJBFV36,0,8,0,3,73,25
rZJBFV36,0,9,0,19,89,35
rZJBFV36,0,10,0,16,149,25
rZJBFV36,0,11,0,0,149,45
rZJBFV36,0,12,0,15,224,50
rZJBFV36,0,13,0,1,89,50
rZJBFV36,0,14,0,17,179,45
rZJBFV36,0,15,0,13,221,50
rZJBFV36,0,16,0,14,89,42
rZJBFV36,0,17,0,9,224,45
rZJBFV36,0,18,0,8,177,20
rZJBFV36,0,19,0,7,224,30
HsR4Ee3W,1,0,0,11,149,20
HsR4Ee3W,1,1,0,10,224,34
HsR4Ee3W,1,2,0,6,179,43
HsR4Ee3W,1,3,0,5,218,21
HsR4Ee3W,1,4,0,12,179,34
HsR4Ee3W,1,5,0,14,89,29
HsR4Ee3W,1,6,0,7,224,59
HsR4Ee3W,1,7,0,8,177,10
HsR4Ee3W,1,8,0,13,221,30
HsR4Ee3W,1,9,0,9,224,42
HsR4Ee3W,1,10,0,17,179,55
HsR4Ee3W,1,11,0,0,149,40
HsR4Ee3W,1,12,0,16,149,39
HsR4Ee3W,1,13,0,15,224,15
HsR4Ee3W,1,14,0,1,89,25
HsR4Ee3W,1,15,0,4,120,46
HsR4Ee3W,1,16,0,18,221,35
HsR4Ee3W,1,17,0,19,89,50
HsR4Ee3W,1,18,0,2,219,60
HsR4Ee3W,1,19,0,3,73,12
9xutvSye,3,0,0,16,149,40
9xutvSye,3,1,0,17,179,5
9xutvSye,3,2,0,15,224,67
9xutvSye,3,3,0,1,89,15
9xutvSye,3,4,0,0,149,67
9xutvSye,3,5,0,4,120,57
9xutvSye,3,6,0,2,219,70
9xutvSye,3,7,0,18,221,68
9xutvSye,3,8,0,19,89,30
9xutvSye,3,9,0,3,73,7
9xutvSye,3,10,0,11,149,30
9xutvSye,3,11,0,10,224,68
9xutvSye,3,12,0,5,218,77
9xutvSye,3,13,0,6,179,65
9xutvSye,3,14,0,12,179,13
9xutvSye,3,15,0,14,89,56
9xutvSye,3,16,0,7,224,3
